Name,Image,Type,Group,Race,Nation,Grade,Power,Critical,Shield,Skill,Gift,Effect,Flavor,Regulation,Number,Rarity,Illstrator
March Rabbit of Nightmareland,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_011EN.png,Normal Unit,Dark Irregulars,Warbeast,Dark Zone,Grade 1,Power 6000,Critical 1,Shield 0,Boost,-,"[AUTO]:[Choose a &ltDark Irregulars> from your hand, and discard it] When this unit is placed on (GC), you may pay the cost. If you do, choose one of your &ltDark Irregulars> that is being attacked, and that unit cannot be hit until end of that battle.","Oh no, you can't do that. It's unacceptable to disturb the tea party.",G-Regulation,BT03/011EN,RR,伊咲ウタ
Doreen the Thruster,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_012EN.png,Normal Unit,Dark Irregulars,Elf,Dark Zone,Grade 1,Power 6000,Critical 1,Shield 5000,Boost,-,"[AUTO](RC):During your main phase, when a card is put into your soul, if you have a &ltDark Irregulars> vanguard, this unit gets [Power] +3000 until end of turn.","A ha ha ha ha, I've grown tired of you. You may disappear.",G-Regulation,BT03/012EN,RR,タイキ
"Dusk Illusionist, Robert",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_013EN.png,Normal Unit,Pale Moon,Elf,Dark Zone,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC):At the beginning of your main phase, [Soul-Charge] 1, look at the top card of your deck, and put that card on the top or the bottom of your deck.[ACT](VC/RC):[Soul-Blast 8 & Counter-Blast 5] Put all of your opponent's grade 1 or less rear-guards into his or her soul.",Come forth from the twilight! Hellgate Illusion!,G-Regulation,BT03/013EN,RR,タカヤマトシアキ
Crimson Beast Tamer,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_014EN.png,Normal Unit,Pale Moon,Elf,Dark Zone,Grade 2,Power 8000,Critical 1,Shield 5000,Intercept,-,"[CONT](VC/RC):During your turn, if you have a card named ""Crimson Beast Tamer"" in your soul, this unit gets [Power] +3000.",...time to unleash the whip of flames.,G-Regulation,BT03/014EN,RR,碧風羽
Mirror Demon,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_015EN.png,Normal Unit,Pale Moon,Demon,Dark Zone,Grade 2,Power 8000,Critical 1,Shield 5000,Intercept,-,"[AUTO](RC):[Counter-Blast 1 & Put this unit into your soul] When this unit's attack hits, if you have a <Pale Moon> vanguard, you may pay the cost. If you do, choose a <Pale Moon> other than a card named ""Mirror Demon"" from your soul, and call it to (RC).","Now, which one's real?",G-Regulation,BT03/015EN,RR,齋藤タヶオ
Hades Hypnotist,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_016EN.png,Normal Unit,Pale Moon,Demon,Dark Zone,Grade 1,Power 6000,Critical 1,Shield 0,Boost,-,"[AUTO]:[Choose a <Pale Moon> from your hand, and discard it] When this unit is placed on (GC), you may pay the cost. If you do, choose one of your <Pale Moon> that is being attacked, and that unit cannot be hit until end of that battle.","When sleeping, even the bravest of the brave is no different from a mere child.",G-Regulation,BT03/016EN,RR,喜久屋めがね
Archbird,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_017EN.png,Normal Unit,Tachikaze,High Beast,Dragon Empire,Grade 1,Power 6000,Critical 1,Shield 0,Boost,-,"[AUTO]:[Choose a &ltTachikaze> from your hand, and discard it] When this unit is placed on (GC), you may pay the cost. If you do, choose one of your &ltTachikaze> that is being attacked, and that unit cannot be hit until end of that battle.","Like darkness, light can also deprive a warrior's sight.",G-Regulation,BT03/017EN,RR,Kou Takano
"Knight of Godly Speed, Galahad",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_018EN.png,Normal Unit,Royal Paladin,Human,United Sanctuary,Grade 3,Power 11000,Critical 1,Shield 0,Twin Drive!!,-,"[CONT](VC/RC):If you do not have a card named ""Knight of Tribulations, Galahad"", a card named ""Knight of Quests, Galahad"", and a card named ""Drangal"" in your soul, this unit gets [Power] -2000.[ACT](VC):[Counter-Blast 2] If the number of &ltRoyal Paladin> in your soul is six or more, this unit gets [Power] +3000/[Critical] +1 until end of turn.",There is no limit to the power of light! Shining Protect!,G-Regulation,BT03/018EN,RR,村枝賢一
Dual Axe Archdragon,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_019EN.png,Normal Unit,Kagero,Flame Dragon,Dragon Empire,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC/RC):When this unit attacks, if the number of rear-guards your opponent has is two or less, this unit gets [Power] +3000 until end of that battle.",Dual Axe Bomber! You shall explode!,G-Regulation,BT03/019EN,RR,前河悠一
"Super Dimensional Robo, Daiyusha",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_020EN.png,Normal Unit,Dimension Police,Battleroid,Star Gate,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC):At the beginning of your attack step, if this unit's [Power]  is 14000 or greater, this unit gets [Critical] +1 until end of that battle.",Super Dimensional Combination! Daiyusha!!,G-Regulation,BT03/020EN,RR,明貴美加
"Imprisoned Fallen Angel, Saraqael",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_021EN.png,Normal Unit,Dark Irregulars,Angel,Dark Zone,Grade 2,Power 11000,Critical 1,Shield 5000,Intercept,-,"[CONT](VC/RC):Restraint (This unit cannot attack.)[ACT](VC/RC):[Soul-Blast 3] This unit loses ""Restraint"" until end of turn.[AUTO](VC):When this unit is boosted ([Boost]) by a &ltDark Irregulars>, this unit gets [Power] +5000 until end of that battle.",No...please...don't release me...,G-Regulation,BT03/021EN,R,春乃壱
Werwolf Sieger,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_022EN.png,Normal Unit,Dark Irregulars,Warbeast,Dark Zone,Grade 2,Power 10000,Critical 1,Shield 5000,Intercept,-,-,"Through repeated use of forbidden magic and demonic transformations, they possess unusual powers even among demons. They are the Dark Irregulars.",G-Regulation,BT03/022EN,R,雨宮慶太
"Demon of Aspiration, Amon",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_023EN.png,Normal Unit,Dark Irregulars,Demon,Dark Zone,Grade 2,Power 8000,Critical 1,Shield 5000,Intercept,-,"[CONT](VC/RC):During your turn, if the number of &ltDark Irregulars> in your soul is six or more, this unit gets [Power] +3000.","These are true powers. But still, not enough.",G-Regulation,BT03/023EN,R,前田真宏
Alluring Succubus,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_024EN.png,Normal Unit,Dark Irregulars,Succubus,Dark Zone,Grade 1,Power 7000,Critical 1,Shield 5000,Boost,-,"[AUTO]:When this unit is placed on (VC) or (RC), if you have a &ltDark Irregulars> vanguard, you may [Soul-Charge] 1.","Say, that life of yours. Can I eat it?",G-Regulation,BT03/024EN,R,百瀬寿
Vermillion Gatekeeper,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_025EN.png,Normal Unit,Dark Irregulars,Demon,Dark Zone,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,-,"[AUTO](VC):When another &ltDark Irregulars> rides this unit, you may [Soul-Charge] 1.","Beyond this is the underworld. Visitor, abandon all hope.",G-Regulation,BT03/025EN,R,米谷尚展
Bloody Calf,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_026EN.png,Normal Unit,Dark Irregulars,Elf,Dark Zone,Grade 1,Power 7000,Critical 1,Shield 5000,Boost,-,"[AUTO]:[Counter-Blast 2] When this unit is placed on (VC) or (RC), if you have a &ltDark Irregulars> vanguard, you may pay the cost. If you do, choose one of your opponent's grade 1 or less rear-guards, and retire it.","My legs are beautiful, aren't they?",G-Regulation,BT03/026EN,R,碧風羽
Barking Manticore,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_027EN.png,Normal Unit,Pale Moon,Chimera,Dark Zone,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[CONT](VC):During your turn, if you have a card named ""Crimson Beast Tamer"" in your soul, this unit gets [Power] +3000.[AUTO]:When this unit is placed on (VC), draw a card, choose a card from your hand, and put it into your soul.","Crimson Beast Tamer: “Right, let's show the audience what you've got!”",G-Regulation,BT03/027EN,R,タカヤマトシアキ
Barking Cerberus,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_028EN.png,Normal Unit,Pale Moon,Chimera,Dark Zone,Grade 2,Power 10000,Critical 1,Shield 5000,Intercept,-,-,The fiercest beast is the one best trained.,G-Regulation,BT03/028EN,R,森チャック
Skull Juggler,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_029EN.png,Normal Unit,Pale Moon,Demon,Dark Zone,Grade 1,Power 7000,Critical 1,Shield 5000,Boost,-,"[AUTO]:When this unit is placed on (VC) or (RC), if you have a <Pale Moon> vanguard, you may [Soul-Charge] 1.",Bones for throwing? You can find them all over the place!,G-Regulation,BT03/029EN,R,funbolt
Midnight Bunny,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_030EN.png,Normal Unit,Pale Moon,Warbeast,Dark Zone,Grade 1,Power 7000,Critical 1,Shield 5000,Boost,-,"[AUTO](RC):[Counter-Blast 1 & Put this unit into your soul] When an attack hits during the battle that this unit boosted ([Boost]), if you have a <Pale Moon> vanguard, you may pay the cost. If you do, choose a <Pale Moon> other than a card named ""Midnight Bunny"" from your soul, and call it to (RC).",Bunny into the box! What will happen next!?,G-Regulation,BT03/030EN,R,叶之明
Turquoise Beast Tamer,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_031EN.png,Normal Unit,Pale Moon,Elf,Dark Zone,Grade 1,Power 6000,Critical 1,Shield 5000,Boost,-,"[CONT](VC/RC):During your turn, if you have a card named ""Crimson Beast Tamer"" in your soul, this unit gets [Power] +3000.",The whip of blue ice will tame the wild...,G-Regulation,BT03/031EN,R,碧風羽
Hades Ringmaster,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_032EN.png,Normal Unit,Pale Moon,Demon,Dark Zone,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,-,"[AUTO](VC):When another <Pale Moon> rides this unit, you may [Soul-Charge] 1.",Night has fallen! Welcome to Pale Moon Circus!,G-Regulation,BT03/032EN,R,ヨウイチ
"Raging Dragon, Blastsaurus",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_033EN.png,Normal Unit,Tachikaze,Dinodragon,Dragon Empire,Grade 3,Power 9000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO]:[Choose a card from your hand, and discard it] When this unit is put into the drop zone from (RC), you may pay the cost. If you do, search your deck for up to one card named ""Raging Dragon, Blastsaurus"", call it to (RC), and shuffle your deck.",Cower under the never ending rage! Phalanx Pressure!,G-Regulation,BT03/033EN,R,開田裕治
"Ravenous Dragon, Megarex",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_034EN.png,Normal Unit,Tachikaze,Dinodragon,Dragon Empire,Grade 2,Power 10000,Critical 1,Shield 5000,Intercept,-,-,You are food. Stand still and let me eat you.,G-Regulation,BT03/034EN,R,たにめそ
Savage Warrior,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_035EN.png,Normal Unit,Tachikaze,Human,Dragon Empire,Grade 1,Power 6000,Critical 1,Shield 5000,Boost,-,"[AUTO](VC/RC):During your turn, when another of your &ltTachikaze> rear-guards is put into the drop zone, this unit gets [Power] +1000 until end of turn.",The day a boy defeats a dinodragon is when he will be acknowledged as a warrior.,G-Regulation,BT03/035EN,R,NINNIN
Toypugal,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_036EN.png,Normal Unit,Royal Paladin,High Beast,United Sanctuary,Grade 1,Power 6000,Critical 1,Shield 5000,Boost,-,"[AUTO](VC/RC):When this unit boosts ([Boost]), if the number of grade 3 &ltRoyal Paladin> vanguards and/or rear-guards you have is two or more, this unit gets [Power] +3000 until end of that battle.",I'm lending a hand. It's only natural for you to win.,G-Regulation,BT03/036EN,R,森チャック
Drangal,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_037EN.png,Normal Unit,Royal Paladin,High Beast,United Sanctuary,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,-,"[AUTO](VC):At the beginning of your ride phase, look at five cards from the top of your deck, search for up to one card named ""Knight of Quests, Galahad"" from among them, ride it, and put the rest on the bottom of your deck in any order. If you rode, you cannot normal ride during that ride phase.",The quest begins. Take along a friend and your courage.,G-Regulation,BT03/037EN,R,安達洋介
"Oracle Guardian, Blue Eye",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_038EN.png,Normal Unit,Oracle Think Tank,Battleroid,United Sanctuary,Grade 1,Power 5000,Critical 1,Shield 5000,Boost,-,"[AUTO](RC):When this unit boosts ([Boost]), if the number of &ltOracle Think Tank> in your soul is six or more, draw a card, choose a card from your hand, and put it on the bottom of your deck.",Intruder on radar! Sending data and requesting analysis!,G-Regulation,BT03/038EN,R,強化新型ｙｕｔｏｒｉ
"Godhawk, Ichibyoshi",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_039EN.png,Normal Unit,Oracle Think Tank,High Beast,United Sanctuary,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,-,"[AUTO](VC):At the beginning of your ride phase, look at five cards from the top of your deck, search for up to one card named ""Goddess of the Crescent Moon, Tsukuyomi"" from among them, ride it, and put the rest on the bottom of your deck in any order. If you rode, you cannot normal ride during that ride phase.","When a Godhawk decides to soar, it marks the end of darkness.",G-Regulation,BT03/039EN,R,ヨシザワ/モレシャン
Circle Magus,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_040EN.png,Normal Unit,Oracle Think Tank,Human,United Sanctuary,Grade 1,Power 7000,Critical 1,Shield 5000,Boost,-,"[AUTO]:When this unit is placed on (VC) or (RC), if you have an &ltOracle Think Tank> vanguard, look at the top card of your deck, and put that card on top of your deck.",The power to guide those who are lost. That is fortune telling.,G-Regulation,BT03/040EN,R,DESIGN:  伊藤彰 ILLUST: 志緒野博
Death Army Lady,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_041EN.png,Normal Unit,Nova Grappler,Battleroid,Star Gate,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO](RC):When your vanguard's drive check reveals a grade 3 &ltNova Grappler>, [Stand] this unit.",A body built strictly for combat is pure beauty.,G-Regulation,BT03/041EN,R,コガラツ
Death Army Guy,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_042EN.png,Normal Unit,Nova Grappler,Battleroid,Star Gate,Grade 1,Power 7000,Critical 1,Shield 5000,Boost,-,"[AUTO](RC):When your vanguard's drive check reveals a grade 3 &ltNova Grappler>, [Stand] this unit.",Nova Grapplers are dauntless!,G-Regulation,BT03/042EN,R,Hirokorin
Decadent Succubus,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_043EN.png,Normal Unit,Dark Irregulars,Succubus,Dark Zone,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO](VC):When another of your &ltDark Irregulars> is placed on (RC), you may [Soul-Charge] 1.",You must be very kind to give me your body and mind.,G-Regulation,BT03/043EN,C,Ryo-ta.H
Prisoner Beast,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_044EN.png,Normal Unit,Dark Irregulars,Chimera,Dark Zone,Grade 1,Power 8000,Critical 1,Shield 5000,Boost,-,-,There is a beast that shouldn't be unleashed even in hell.,G-Regulation,BT03/044EN,C,トニーたけざき
"Poet of Darkness, Amon",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_045EN.png,Normal Unit,Dark Irregulars,Demon,Dark Zone,Grade 1,Power 6000,Critical 1,Shield 5000,Boost,-,"[CONT](VC/RC):During your turn, if the number of &ltDark Irregulars> in your soul is six or more, this unit gets [Power] +3000.",The whisper of the devil. A magical trap hidden behind sweet words.,G-Regulation,BT03/045EN,C,前田真宏
Blitzritter,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_046EN.png,Trigger Unit,Dark Irregulars,Elf,Dark Zone,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Critical Trigger +5000,-,Yah! Vanish away!,G-Regulation,BT03/046EN,C,村瀬倫太郎
Hades Puppet Master,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_047EN.png,Trigger Unit,Dark Irregulars,Ghost,Dark Zone,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Stand Trigger +5000,-,"Dance, dance!",G-Regulation,BT03/047EN,C,竜徹
Cursed Doctor,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_048EN.png,Trigger Unit,Dark Irregulars,Human,Dark Zone,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Heal Trigger +5000,"(You may only have up to four cards with ""[Heal] HEAL"" in a deck.)","Now, time for the surgery.",G-Regulation,BT03/048EN,C,Azusa
Dark Queen of Nightmareland,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_049EN.png,Trigger Unit,Dark Irregulars,Human,Dark Zone,Grade 0,Power 4000,Critical 1,Shield 10000,Boost,Stand Trigger +5000,"[AUTO](RC):When an attack hits during the battle that this unit boosted ([Boost]), you may [Soul-Charge] 1. If you do, return this unit to your deck, and shuffle your deck.",Get him!,G-Regulation,BT03/049EN,C,三好載克
Elephant Juggler,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_050EN.png,Normal Unit,Pale Moon,Giant,Dark Zone,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO](VC):When another of your <Pale Moon> is placed on (RC), you may [Soul-Charge] 1.","See, elephants are bite size.",G-Regulation,BT03/050EN,C,山崎太郎
Hungry Clown,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_051EN.png,Normal Unit,Pale Moon,Ogre,Dark Zone,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO](VC/RC): When this unit's attack hits, if you have a <Pale Moon> vanguard, you may [Soul-Charge] 1.",Pale Moon Circus is the only live show where you can see tanks being eaten.,G-Regulation,BT03/051EN,C,koji
Dark Metal Bicorn,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_052EN.png,Normal Unit,Pale Moon,High Beast,Dark Zone,Grade 1,Power 8000,Critical 1,Shield 5000,Boost,-,-,It is said that many unexplained deaths and incidents occur in countries where the Pale Moon shows are held.,G-Regulation,BT03/052EN,C,コガラツ
Dynamite Juggler,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_053EN.png,Trigger Unit,Pale Moon,Demon,Dark Zone,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Critical Trigger +5000,-,Kaboom! Grand explosion!,G-Regulation,BT03/053EN,C,齋藤直葵
Spiral Master,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_054EN.png,Trigger Unit,Pale Moon,Gillman,Dark Zone,Grade 0,Power 5000,Critical 1,Shield 5000,Boost,Critical Trigger +5000,-,"Sir, watching from the S seats can be life threatening.",G-Regulation,BT03/054EN,C,touge666
Candy Clown,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_055EN.png,Trigger Unit,Pale Moon,Demon,Dark Zone,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Heal Trigger +5000,"(You may only have up to four cards with ""[Heal] HEAL"" in a deck.)","Here, a present for you!",G-Regulation,BT03/055EN,C,山崎奈苗
Rainbow Magician,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_056EN.png,Trigger Unit,Pale Moon,Elf,Dark Zone,Grade 0,Power 4000,Critical 1,Shield 5000,Boost,Draw Trigger +5000,"[AUTO](RC):When an attack hits during the battle that this unit boosted ([Boost]), you may [Soul-Charge] 1. If you do, return this unit to your deck, and shuffle your deck.","C'mon, draw a card.",G-Regulation,BT03/056EN,C,由利真珠郎
Vacuum Mammoth,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_057EN.png,Normal Unit,Tachikaze,High Beast,Dragon Empire,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO](VC):When another of your &ltTachikaze> is placed on (RC), you may [Soul-Charge] 1.","It's just inhaling. Simple, yet deadly.",G-Regulation,BT03/057EN,C,松島一夫
Savage Destroyer,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_058EN.png,Normal Unit,Tachikaze,Human,Dragon Empire,Grade 2,Power 8000,Critical 1,Shield 5000,Intercept,-,"[AUTO](VC/RC):During your turn, when another of your &ltTachikaze> rear-guards is put into the drop zone, this unit gets [Power] +1000 until end of turn.",The Tachikaze warriors do not forget the wishes of their fallen comrades.,G-Regulation,BT03/058EN,C,NINNIN
"Raging Dragon, Sparksaurus",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_059EN.png,Normal Unit,Tachikaze,Dinodragon,Dragon Empire,Grade 1,Power 5000,Critical 1,Shield 5000,Boost,-,"[AUTO]:[Choose a card from your hand, and discard it] When this unit is put into the drop zone from (RC), you may pay the cost. If you do, search your deck for up to one card named ""Raging Dragon, Sparksaurus"", call it to (RC), and shuffle your deck.",It's not a bunch of ants! It's a bunch of enraged dragons!,G-Regulation,BT03/059EN,C,開田裕治
